"tr1","tr2","soft","hard"
0,1,0.9272142857142858,0.9272142857142858
0,2,0.9402380952380952,0.9484761904761905
0,3,0.9516428571428571,0.9485714285714286
0,4,0.9557857142857142,0.9594285714285714
0,5,0.9548333333333333,0.9541190476190476
1,0,0.9968571428571429,0.9968571428571429
1,1,0.9971666666666666,0.984452380952381
1,2,0.9946190476190476,0.9586666666666667
1,3,0.9911904761904762,0.9703333333333334
1,4,0.9873333333333333,0.9651666666666666
1,5,0.9835238095238096,0.9670714285714286
2,0,0.9972857142857143,0.9971428571428571
2,1,0.9976190476190476,0.9974047619047619
2,2,0.9974761904761905,0.9918095238095238
2,3,0.9974047619047619,0.9776190476190476
2,4,0.9958571428571429,0.9790238095238095
2,5,0.9940238095238095,0.9713571428571428
3,0,0.9974285714285714,0.9973571428571428
3,1,0.9975,0.9975238095238095
3,2,0.9975952380952381,0.997547619047619
3,3,0.9977857142857143,0.9944047619047619
3,4,0.9975952380952381,0.9845
3,5,0.9967857142857143,0.9811904761904762
4,0,0.997547619047619,0.9975238095238095
4,1,0.9976904761904762,0.9976904761904762
4,2,0.9978095238095238,0.9976666666666667
4,3,0.9979047619047619,0.9975
4,4,0.9979047619047619,0.9949285714285714
4,5,0.9977380952380952,0.9857857142857143
5,0,0.9977142857142857,0.9976428571428572
5,1,0.9977619047619047,0.9977142857142857
5,2,0.9978333333333333,0.9977857142857143
5,3,0.9980476190476191,0.9979047619047619
5,4,0.9980238095238095,0.9975952380952381
5,5,0.9979285714285714,0.9950238095238095
