rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,val_loss
19.19686431951373,0.20901088144099314,0.38405454186111176,0.23996402282257057,0.10206638888533845,0.022220429033041
28.816929542901924,0.39100920908804004,0.2770841119453179,0.34061018253006625,0.11146590049130006,0.023088127374649048
43.43410413174117,0.2834173438742231,0.27375949896818885,0.15555809611038365,0.3424101150282481,0.029848376289010048
17.01003601991092,0.38785226660815364,0.30289497170727797,0.2637924404969271,0.1803972318546122,0.02294338308274746
10.755445837282691,0.39576001559070983,0.39205077518912257,0.38281055792921836,0.396320750705659,0.028119152411818504
33.27088427662058,0.3605383199770277,0.13505776272360873,0.13831266468917783,0.17340673816256794,0.025382887572050095
49.3506844198074,0.2978424133940589,0.2990829261451698,0.14435462701646262,0.1211438599851377,0.032194338738918304
23.09093999418877,0.4,0.1,0.1,0.4,0.0249733105301857
18.550498114931145,0.1,0.1,0.4,0.4,0.02369987592101097
18.63230824366345,0.4,0.4,0.1,0.1,0.023234009742736816
18.1519017887764,0.1,0.4,0.1,0.1,0.020590541884303093
18.10422186453,0.1,0.4,0.1,0.1,0.021966272965073586
17.718261335584014,0.1,0.4,0.1,0.1,0.023602882400155067
18.759275901922862,0.1,0.4,0.1,0.1,0.02378304861485958
18.276551985644694,0.1,0.4,0.1,0.1,0.023956721648573875
18.742473332615006,0.1,0.4,0.4,0.1,0.022985640913248062
18.388879177471168,0.1,0.4,0.4,0.1,0.0249274130910635
19.806055360855435,0.1,0.4,0.1,0.1,0.02428913302719593
27.73900197039526,0.1,0.4,0.1,0.1,0.02649843692779541
18.01584412083525,0.4,0.1,0.1,0.1,0.021857010200619698
