tr1,tr2,soft,hard
0,1,0.814952380952381,0.814952380952381
0,2,0.8228571428571428,0.7869285714285714
0,3,0.8241190476190476,0.8064761904761905
0,4,0.8187380952380953,0.806047619047619
0,5,0.8189761904761905,0.8090952380952381
1,0,0.9987142857142857,0.9987142857142857
1,1,0.9988571428571429,0.9083095238095238
1,2,0.9710952380952381,0.8798333333333334
1,3,0.9515238095238095,0.8689523809523809
1,4,0.9272380952380952,0.8468095238095238
1,5,0.9147857142857143,0.8434761904761905
2,0,0.9989047619047619,0.9988095238095238
2,1,0.9990952380952381,0.9990714285714286
2,2,0.9991190476190476,0.9455
2,3,0.9922857142857143,0.9197142857142857
2,4,0.9778809523809524,0.9004285714285715
2,5,0.9678095238095238,0.8737619047619047
3,0,0.9992142857142857,0.9992619047619048
3,1,0.9993571428571428,0.9991904761904762
3,2,0.9993333333333333,0.9990238095238095
3,3,0.9992619047619048,0.9687857142857143
3,4,0.9952619047619048,0.9363333333333334
3,5,0.9897857142857143,0.9146428571428571
4,0,0.9992857142857143,0.9992619047619048
4,1,0.9994285714285714,0.999452380952381
4,2,0.9994761904761905,0.9990476190476191
4,3,0.9993571428571428,0.9989523809523809
4,4,0.9992380952380953,0.9726904761904762
4,5,0.9979285714285714,0.9431666666666667
5,0,0.9992857142857143,0.9993571428571428
5,1,0.9993809523809524,0.9993333333333333
5,2,0.999452380952381,0.9994285714285714
5,3,0.9994285714285714,0.9991666666666666
5,4,0.9993809523809524,0.9988333333333334
5,5,0.9992619047619048,0.9752142857142857
