tr1,tr2,soft,hard
0,1,0.6274047619047619,0.6274047619047619
0,2,0.6742857142857143,0.6522619047619047
0,3,0.702047619047619,0.6952142857142857
0,4,0.686,0.6705714285714286
0,5,0.6844761904761905,0.6733333333333333
1,0,0.9987380952380952,0.9987380952380952
1,1,0.9989761904761905,0.7862142857142858
1,2,0.9825952380952381,0.7772857142857142
1,3,0.958452380952381,0.7593095238095238
1,4,0.9305476190476191,0.7395714285714285
1,5,0.9071666666666667,0.729547619047619
2,0,0.9989761904761905,0.9985238095238095
2,1,0.9990714285714286,0.9987619047619047
2,2,0.9988571428571429,0.8978095238095238
2,3,0.9953333333333333,0.8593333333333333
2,4,0.9854047619047619,0.8111190476190476
2,5,0.974047619047619,0.7911428571428571
3,0,0.9994761904761905,0.9994761904761905
3,1,0.9995238095238095,0.9990714285714286
3,2,0.9994047619047619,0.9989761904761905
3,3,0.9992619047619048,0.9358095238095238
3,4,0.9979285714285714,0.8987142857142857
3,5,0.9934285714285714,0.8568809523809524
4,0,0.9995238095238095,0.9995952380952381
4,1,0.999547619047619,0.9995714285714286
4,2,0.9995,0.9990238095238095
4,3,0.9994047619047619,0.9987142857142857
4,4,0.9992380952380953,0.9504047619047619
4,5,0.9988095238095238,0.9195952380952381
5,0,0.9995714285714286,0.999547619047619
5,1,0.9995714285714286,0.999547619047619
5,2,0.999547619047619,0.9994761904761905
5,3,0.9995238095238095,0.9989523809523809
5,4,0.9993809523809524,0.9987142857142857
5,5,0.9992857142857143,0.9583809523809523
