tr1,tr2,soft,hard
0,1,0.8007380952380952,0.8007380952380952
0,2,0.8130952380952381,0.8023095238095238
0,3,0.8047380952380953,0.7869761904761905
0,4,0.7989047619047619,0.7967380952380952
0,5,0.804047619047619,0.7947857142857143
1,0,0.9989047619047619,0.9989047619047619
1,1,0.9990952380952381,0.9275
1,2,0.9781666666666666,0.8772619047619048
1,3,0.9580714285714286,0.8575238095238096
1,4,0.9354523809523809,0.8365
1,5,0.9233809523809524,0.8385
2,0,0.9991190476190476,0.9984761904761905
2,1,0.9990476190476191,0.9988095238095238
2,2,0.9989761904761905,0.9713095238095238
2,3,0.9911904761904762,0.9069285714285714
2,4,0.9788095238095238,0.8951904761904762
2,5,0.971452380952381,0.8671666666666666
3,0,0.9995238095238095,0.9995
3,1,0.9995238095238095,0.9991666666666666
3,2,0.9994047619047619,0.9988571428571429
3,3,0.9993571428571428,0.9782619047619048
3,4,0.9949523809523809,0.9270238095238095
3,5,0.9903333333333333,0.9102380952380953
4,0,0.999547619047619,0.9995238095238095
4,1,0.999547619047619,0.9995714285714286
4,2,0.9995714285714286,0.9992380952380953
4,3,0.9995,0.9986428571428572
4,4,0.9993333333333333,0.9836190476190476
4,5,0.9985,0.9369047619047619
5,0,0.9996190476190476,0.9996666666666667
5,1,0.9996190476190476,0.9996428571428572
5,2,0.9995952380952381,0.9996190476190476
5,3,0.9995952380952381,0.9992619047619048
5,4,0.999547619047619,0.9987619047619047
5,5,0.9994047619047619,0.9856428571428572
