rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,val_loss
5,0.1,0.1,5,0.17,0.01939011737704277
5,0.1,0.2,5,0.17,0.021245133131742477
5,0.1,0.3,5,0.17,0.021795950829982758
5,0.1,0.4,5,0.17,0.022954195737838745
5,0.2,0.1,5,0.17,0.020792514085769653
5,0.2,0.2,5,0.17,0.02301727421581745
5,0.2,0.3,5,0.17,0.02074647881090641
5,0.2,0.4,5,0.17,0.021888557821512222
5,0.3,0.1,5,0.17,0.02043651044368744
5,0.3,0.2,5,0.17,0.02175338938832283
5,0.3,0.3,5,0.17,0.021266158670186996
5,0.3,0.4,5,0.17,0.02237437665462494
