"tr1","tr2","soft","hard"
0, 1, 0.9624761904761905, 0.9624761904761905
0, 2, 0.9668095238095238, 0.9637380952380953
0, 3, 0.9682142857142857, 0.9668571428571429
0, 4, 0.9654761904761905, 0.9633809523809523
0, 5, 0.9646190476190476, 0.9626190476190476
1, 0, 0.9983095238095238, 0.9983095238095238
1, 1, 0.998547619047619, 0.9871428571428571
1, 2, 0.9938809523809524, 0.979
1, 3, 0.9888571428571429, 0.9761904761904762
1, 4, 0.9842619047619048, 0.9716428571428571
1, 5, 0.9806428571428571, 0.9696190476190476
2, 0, 0.9987380952380952, 0.9981190476190476
2, 1, 0.9987142857142857, 0.9985952380952381
2, 2, 0.9986904761904762, 0.9937142857142857
2, 3, 0.9970714285714286, 0.9852619047619048
2, 4, 0.9943809523809524, 0.9796428571428571
2, 5, 0.9913333333333333, 0.9762380952380952
3, 0, 0.9987857142857143, 0.9987142857142857
3, 1, 0.9988095238095238, 0.9985952380952381
3, 2, 0.9986428571428572, 0.998547619047619
3, 3, 0.9985952380952381, 0.9954285714285714
3, 4, 0.9979523809523809, 0.9865952380952381
3, 5, 0.995904761904762, 0.9824761904761905
4, 0, 0.9989285714285714, 0.9988095238095238
4, 1, 0.9987857142857143, 0.9988333333333334
4, 2, 0.9986666666666667, 0.9986428571428572
4, 3, 0.9985952380952381, 0.9984285714285714
4, 4, 0.998547619047619, 0.9957857142857143
4, 5, 0.9981904761904762, 0.9880714285714286
5, 0, 0.999, 0.9989285714285714
5, 1, 0.9989761904761905, 0.9989761904761905
5, 2, 0.999, 0.9989523809523809
5, 3, 0.9988571428571429, 0.9986904761904762
5, 4, 0.9987619047619047, 0.9985
5, 5, 0.9985952380952381, 0.9959523809523809
