loss,accuracy,lr
0.4643115699291229,0.8468095064163208,0.0010000000474974513
0.16227203607559204,0.9510475993156433,0.0010000000474974513
0.13018587231636047,0.9611428380012512,0.0010000000474974513
0.11637938022613525,0.9648809432983398,0.0010000000474974513
0.10389183461666107,0.9682857394218445,0.0010000000474974513
0.10147695988416672,0.9696190357208252,0.0010000000474974513
0.09492221474647522,0.9726190567016602,0.0010000000474974513
0.09439024329185486,0.9730238318443298,0.0010000000474974513
0.08959347754716873,0.974309504032135,0.0010000000474974513
0.089260995388031,0.9748333096504211,0.0010000000474974513
0.08692483603954315,0.9748571515083313,0.0010000000474974513
0.0895114317536354,0.9740714430809021,0.0010000000474974513
0.08202212303876877,0.9758333563804626,0.0010000000474974513
0.08149551600217819,0.977142870426178,0.0010000000474974513
0.0825112834572792,0.9757381081581116,0.0010000000474974513
0.08328892290592194,0.9763333201408386,0.0010000000474974513
0.07876498252153397,0.9775000214576721,0.0010000000474974513
0.08111799508333206,0.9770714044570923,0.0010000000474974513
0.08362691849470139,0.9771190285682678,0.0010000000474974513
0.08147928863763809,0.977738082408905,0.0010000000474974513
0.08094333857297897,0.9782857298851013,0.0010000000474974513
0.05912668630480766,0.9831190705299377,0.0004700000281445682
0.05549675598740578,0.9835714101791382,0.0004700000281445682
0.05488076061010361,0.9841190576553345,0.0004700000281445682
0.05267241597175598,0.9850237965583801,0.0004700000281445682
0.05370551347732544,0.9850237965583801,0.0004700000281445682
0.05492828041315079,0.984666645526886,0.0004700000281445682
0.04975923150777817,0.9855476021766663,0.0004700000281445682
0.05476342886686325,0.9850952625274658,0.0004700000281445682
0.05077781900763512,0.9852856993675232,0.0004700000281445682
0.05265790596604347,0.9851666688919067,0.0004700000281445682
0.05168084427714348,0.9854999780654907,0.0004700000281445682
0.04178875684738159,0.988095223903656,0.00022090000857133418
0.04271665960550308,0.9872142672538757,0.00022090000857133418
0.041091516613960266,0.9882143139839172,0.00022090000857133418
0.0382293164730072,0.9891904592514038,0.00022090000857133418
0.04081869497895241,0.988261878490448,0.00022090000857133418
0.03674417734146118,0.989642858505249,0.00022090000857133418
0.038085583597421646,0.9892619252204895,0.00022090000857133418
0.04024599865078926,0.9888095259666443,0.00022090000857133418
0.03953581303358078,0.9890714287757874,0.00022090000857133418
0.040457457304000854,0.9885476231575012,0.00022090000857133418
0.03379823639988899,0.9907618761062622,0.00010382300388300791
0.03387727960944176,0.9897381067276001,0.00010382300388300791
0.03295914828777313,0.9905475974082947,0.00010382300388300791
0.03222569823265076,0.9908809661865234,0.00010382300388300791
0.034830491989851,0.9903095364570618,0.00010382300388300791
0.03142772987484932,0.9908095002174377,0.00010382300388300791
0.03241011127829552,0.9906904697418213,0.00010382300388300791
0.032721929252147675,0.9907380938529968,0.00010382300388300791
0.03180597350001335,0.9901190400123596,0.00010382300388300791
0.031132090836763382,0.9907380938529968,0.00010382300388300791
0.03171037137508392,0.9908333420753479,0.00010382300388300791
0.03155140206217766,0.9908809661865234,0.00010382300388300791
0.03294691815972328,0.9906666874885559,0.00010382300388300791
0.029137253761291504,0.991523802280426,0.00010382300388300791
0.030651360750198364,0.9909999966621399,0.00010382300388300791
0.03275424614548683,0.990928590297699,0.00010382300388300791
0.031056055799126625,0.9906190633773804,0.00010382300388300791
0.02882831171154976,0.9913333058357239,0.00010382300388300791
0.028963789343833923,0.9911428689956665,0.00010382300388300791
0.029665343463420868,0.9915952086448669,0.00010382300388300791
0.030181298032402992,0.9908095002174377,0.00010382300388300791
0.029262546449899673,0.9916666746139526,0.00010382300388300791
0.028446603566408157,0.991428554058075,4.999999873689376e-05
0.028965270146727562,0.9914761781692505,4.999999873689376e-05
0.02993881143629551,0.9913333058357239,4.999999873689376e-05
0.027681026607751846,0.9916190505027771,4.999999873689376e-05
0.026569562032818794,0.9920476078987122,4.999999873689376e-05
0.027095122262835503,0.9920952320098877,4.999999873689376e-05
0.02865394577383995,0.9919999837875366,4.999999873689376e-05
0.028822658583521843,0.991095244884491,4.999999873689376e-05
0.02564835548400879,0.9926190376281738,4.999999873689376e-05
0.026748627424240112,0.9920476078987122,4.999999873689376e-05
0.026516353711485863,0.9921428561210632,4.999999873689376e-05
0.02780267968773842,0.9917619228363037,4.999999873689376e-05
0.027256663888692856,0.9923571348190308,4.999999873689376e-05
0.028117971494793892,0.9922618865966797,4.999999873689376e-05
0.026934675872325897,0.9918809533119202,4.999999873689376e-05
0.02776976302266121,0.9914523959159851,4.999999873689376e-05
