rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,val_loss
44,0.04607544177453398,0.061828264328572406,7,0.1392164805371163,0.026994433254003525
22,0.27444096036251703,0.3844379732663654,28,0.21109637512244928,0.023587703704833984
49,0.35966770889845145,0.23312898640994045,35,0.09571986919517853,0.040627371519804
48,0.12762221250410452,0.08613238500020436,21,0.019755961131077228,0.03407519683241844
22,0.32274745515958103,0.024339721846242002,42,0.14724148328996148,0.024750202894210815
0,0.04752389153940828,0.23885518611196155,36,0.3776052075866981,0.023052575066685677
24,0.3557718675165638,0.3328963578047104,36,0.30026853086968414,0.027115287259221077
30,0.041036000654081084,0.36533797198902046,41,0.16478465769709771,0.025371752679347992
12,0.09926876785259747,0.10848200159585085,0,0.38388652560899733,0.023807069286704063
26,0.06851452860911614,0.026563701691820676,42,0.30464060470375426,0.023112088441848755
28,0.10691250276695281,0.3554208333857638,49,0.08932761545778344,0.029585951939225197
3,0.18476589453870554,0.08195407483163591,9,0.20833999432357256,0.021102938801050186
21,0.15545844523112784,0.01973181863535243,1,0.2688872863821848,0.023620719090104103
27,0.10977330029395108,0.22806713975695816,11,0.30470205984971765,0.027358554303646088
5,0.11457428169649818,0.05819594753873095,17,0.07381279960536787,0.022397087886929512
40,0.24842422740952577,0.03943431103106705,19,0.3106366126404939,0.030287649482488632
21,0.15255460645269545,0.36491058112062214,43,0.14093963900011672,0.023899002000689507
5,0.2912906176006318,0.3990637672617867,44,0.11059761737485259,0.035376280546188354
14,0.19565057483859016,0.2851416919158246,24,0.30362441467817747,0.02635977976024151
38,0.23723628943973063,0.3855009280468378,18,0.23079245019399594,0.029979730024933815
27,0.2797753136568323,0.12449986985894226,32,0.050618421118054306,0.02549787051975727
13,0.3507311944682997,0.07754238013453651,48,0.2619051135321807,0.024331890046596527
