rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,val_loss
35,0.2394287219224977,0.24066463876770006,48,0.269710408369716,0.032132137566804886
32,0.36408777288074834,0.13961315382525374,25,0.25222231032618814,0.025890694931149483
16,0.25559691319384814,0.1850446532834943,23,0.2184845800503898,0.024273527786135674
17,0.3306817977179155,0.26593120269386594,47,0.3294093142930298,0.025101931765675545
26,0.12895392714889997,0.23772605919817938,15,0.2976684399791557,0.025697069242596626
41,0.15846717265731053,0.12643541642923634,40,0.39866840949307436,0.03630533069372177
17,0.33539789732772807,0.2030097571604547,13,0.2514707194396012,0.024190455675125122
12,0.14827737574182964,0.11855741524093574,18,0.2644284163533106,0.021909909322857857
18,0.22567159790179414,0.2424725200018756,26,0.25477598147822234,0.023790042847394943
25,0.34665969288968335,0.22036250164369492,30,0.34501179174270435,0.028112344443798065
10,0.12476082129739381,0.27554495158231596,10,0.1780711622606244,0.02022068202495575
31,0.2328864257745451,0.2272879795470238,16,0.3780882687168299,0.027492856606841087
39,0.31234910925987724,0.30978057048061536,10,0.3576254123530612,0.03012058325111866
13,0.36586874519567725,0.16839800542929595,45,0.19499939813717732,0.025092409923672676
26,0.1360503922446271,0.15836882090325038,22,0.1369028691915554,0.024809395894408226
22,0.33463859397630014,0.27132727022694414,46,0.26571034338987587,0.02552889846265316
48,0.11379977876039742,0.15277242808692654,31,0.2741342455888447,0.03523210808634758
38,0.3663736971956799,0.18781126092475944,18,0.10794095432022258,0.028516987338662148
15,0.1729463017005296,0.13667016180508446,33,0.2695343123384485,0.02250029891729355
25,0.12423021947446514,0.1892060649120063,27,0.18817907300465164,0.026890041306614876
35,0.3068419166065976,0.3256438145021181,27,0.37631530286413495,0.02887479029595852
26,0.3593323623990047,0.16437574185907927,26,0.3979445889865687,0.027215799316763878
49,0.38735150473184987,0.27781146833280884,37,0.1266786529582221,0.03489212319254875
19,0.15798277373060846,0.10471456949453334,28,0.13228223751311072,0.025729598477482796
18,0.27882689105621705,0.20228046727902502,33,0.3788417925313097,0.025872021913528442
