rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,val_loss
41,0.2819716343344915,0.24686411206441222,0.21106954086011856,0.18207985127555565,0.0300328079611063
43,0.3586259507406524,0.13492632590392822,0.18927657307871157,0.3459299144237626,0.03096911497414112
40,0.13101456928009036,0.3105135725046903,0.26106205445961306,0.3765711388165709,0.028899362310767174
48,0.3869830283373664,0.26645681956220857,0.386274857795304,0.1984513800493065,0.032875481992959976
14,0.10886638011022975,0.303271718802372,0.3319477009875297,0.22375756899636617,0.020844023674726486
47,0.2978171220627306,0.10875881090829134,0.297971998049121,0.30562556714148204,0.03078307770192623
32,0.11853818596945356,0.15270598407601685,0.3307228429463674,0.2993195837383086,0.028335366398096085
29,0.10529695048652302,0.27383437678678557,0.17795967586472733,0.255696373733331,0.026333192363381386
24,0.3095312190613556,0.11382255476950892,0.3621136914901284,0.1534067053330034,0.021480854600667953
15,0.10490785362449294,0.10655663664354847,0.36310392017524606,0.21066148016586086,0.025188082829117775
48,0.18205434665151513,0.3048071936143501,0.27855323685049405,0.291517858158511,0.03436264023184776
37,0.26876359856771465,0.39051957953268823,0.27414462447875837,0.31051939752780433,0.029364675283432007
45,0.18614979304539492,0.1394321348689829,0.20316829235990186,0.26812347687660487,0.03249451518058777
11,0.12894913394179536,0.2529811991529657,0.37373617854265906,0.1681462375052729,0.020654801279306412
30,0.2531102185821918,0.14523278937103395,0.17823988684898506,0.3853304231654838,0.02824513614177704
19,0.3277764964911967,0.1061186788740794,0.3488297377513812,0.3654970171411056,0.02212577685713768
14,0.3793257941343404,0.3603187712263981,0.31859576091295316,0.3034547227440587,0.02405749261379242
36,0.2507151086593118,0.19000884483775704,0.39767075571260635,0.2330497014624268,0.02889486774802208
19,0.10672934609062185,0.1660319152122165,0.35894594200129093,0.38606232861449996,0.025450963526964188
33,0.3173473315697958,0.15790557079774603,0.2474830181802411,0.21767483937555857,0.025664042681455612
21,0.13796724348044234,0.2614621799628245,0.2906658405779522,0.22999300475224185,0.02582905814051628
49,0.37473378929705226,0.1236415985870942,0.3721583996131268,0.32908652748427647,0.033739056438207626
19,0.13055930730423773,0.3831007641027321,0.2771150225067516,0.35157946226124803,0.02491859346628189
47,0.26389286889699737,0.38067955179196056,0.11730764725807129,0.242881454647598,0.035365991294384
18,0.25804475932559523,0.31686405932794426,0.14739306171182254,0.32661260442167056,0.025203781202435493
